latitude,longitude,time
28.879139,-81.2820081,2022-05-10 15:05:18.100000+00:00
28.8791096,-81.2820174,2022-05-10 15:05:18.200000+00:00
28.879080199999997,-81.2820267,2022-05-10 15:05:18.300000+00:00
28.879050799999998,-81.2820359,2022-05-10 15:05:18.400000+00:00
28.8790214,-81.2820453,2022-05-10 15:05:18.500000+00:00
28.878992,-81.2820546,2022-05-10 15:05:18.600000+00:00
28.8789627,-81.2820638,2022-05-10 15:05:18.700000+00:00
28.8789333,-81.282073,2022-05-10 15:05:18.800000+00:00
28.8789038,-81.2820823,2022-05-10 15:05:18.900000+00:00
28.878874399999997,-81.28209149999999,2022-05-10 15:05:19+00:00
28.8788451,-81.2821008,2022-05-10 15:05:19.100000+00:00
28.8788156,-81.28211,2022-05-10 15:05:19.200000+00:00
28.878786299999998,-81.28211929999999,2022-05-10 15:05:19.300000+00:00
28.8787569,-81.2821286,2022-05-10 15:05:19.400000+00:00
28.8787275,-81.28213769999999,2022-05-10 15:05:19.500000+00:00
28.8786982,-81.2821471,2022-05-10 15:05:19.600000+00:00
28.878668899999997,-81.28215639999999,2022-05-10 15:05:19.700000+00:00
28.8786395,-81.2821656,2022-05-10 15:05:19.800000+00:00
28.8786101,-81.2821749,2022-05-10 15:05:19.900000+00:00
28.878580699999997,-81.2821843,2022-05-10 15:05:20+00:00
28.8785514,-81.28219349999999,2022-05-10 15:05:20.100000+00:00
28.878522,-81.2822028,2022-05-10 15:05:20.200000+00:00
28.8784927,-81.2822123,2022-05-10 15:05:20.300000+00:00
28.8784632,-81.28222149999999,2022-05-10 15:05:20.400000+00:00
28.878433899999997,-81.282231,2022-05-10 15:05:20.500000+00:00
28.8784046,-81.2822403,2022-05-10 15:05:20.600000+00:00
28.8783751,-81.2822496,2022-05-10 15:05:20.700000+00:00
28.878345799999998,-81.28225909999999,2022-05-10 15:05:20.800000+00:00
28.8783165,-81.2822685,2022-05-10 15:05:20.900000+00:00
28.878287099999998,-81.2822778,2022-05-10 15:05:21+00:00
28.8782578,-81.2822873,2022-05-10 15:05:21.100000+00:00
28.878228399999998,-81.2822967,2022-05-10 15:05:21.200000+00:00
28.878199,-81.2823061,2022-05-10 15:05:21.300000+00:00
28.8781695,-81.2823155,2022-05-10 15:05:21.400000+00:00
28.8781401,-81.2823248,2022-05-10 15:05:21.500000+00:00
28.878110699999997,-81.2823342,2022-05-10 15:05:21.600000+00:00
28.8780812,-81.2823435,2022-05-10 15:05:21.700000+00:00
28.8780519,-81.28235289999999,2022-05-10 15:05:21.800000+00:00
28.8780225,-81.2823622,2022-05-10 15:05:21.900000+00:00
28.877993099999998,-81.2823715,2022-05-10 15:05:22+00:00
28.877963599999998,-81.2823808,2022-05-10 15:05:22.100000+00:00
28.8779342,-81.2823902,2022-05-10 15:05:22.200000+00:00
28.8779048,-81.2823995,2022-05-10 15:05:22.300000+00:00
28.877875399999997,-81.28240869999999,2022-05-10 15:05:22.400000+00:00
28.877845899999997,-81.28241799999999,2022-05-10 15:05:22.500000+00:00
28.8778164,-81.2824273,2022-05-10 15:05:22.600000+00:00
28.8777871,-81.2824366,2022-05-10 15:05:22.700000+00:00
28.877757499999998,-81.28244579999999,2022-05-10 15:05:22.800000+00:00
28.8777282,-81.28245509999999,2022-05-10 15:05:22.900000+00:00
28.8776987,-81.2824643,2022-05-10 15:05:23+00:00
28.8776694,-81.2824736,2022-05-10 15:05:23.100000+00:00
28.87764,-81.2824828,2022-05-10 15:05:23.200000+00:00
28.877610599999997,-81.28249199999999,2022-05-10 15:05:23.300000+00:00
28.877581199999998,-81.28250129999999,2022-05-10 15:05:23.400000+00:00
28.8775519,-81.2825106,2022-05-10 15:05:23.500000+00:00
28.8775224,-81.2825198,2022-05-10 15:05:23.600000+00:00
28.8774931,-81.28252909999999,2022-05-10 15:05:23.700000+00:00
28.8774636,-81.2825383,2022-05-10 15:05:23.800000+00:00
28.877434299999997,-81.28254749999999,2022-05-10 15:05:23.900000+00:00
28.877404799999997,-81.2825568,2022-05-10 15:05:24+00:00
28.8773754,-81.282566,2022-05-10 15:05:24.100000+00:00
28.877346,-81.2825752,2022-05-10 15:05:24.200000+00:00
28.8773166,-81.28258459999999,2022-05-10 15:05:24.300000+00:00
28.8772873,-81.2825938,2022-05-10 15:05:24.400000+00:00
28.8772579,-81.282603,2022-05-10 15:05:24.500000+00:00
28.8772287,-81.2826123,2022-05-10 15:05:24.600000+00:00
28.8771992,-81.28262149999999,2022-05-10 15:05:24.700000+00:00
28.8771699,-81.28263059999999,2022-05-10 15:05:24.800000+00:00
28.877140599999997,-81.2826398,2022-05-10 15:05:24.900000+00:00
28.8771113,-81.2826491,2022-05-10 15:05:25+00:00
28.8770821,-81.2826582,2022-05-10 15:05:25.100000+00:00
28.877052799999998,-81.2826675,2022-05-10 15:05:25.200000+00:00
28.877023599999998,-81.28267679999999,2022-05-10 15:05:25.300000+00:00
28.876994399999997,-81.282686,2022-05-10 15:05:25.400000+00:00
28.8769653,-81.28269519999999,2022-05-10 15:05:25.500000+00:00
28.8769362,-81.2827045,2022-05-10 15:05:25.600000+00:00
28.876907199999998,-81.2827136,2022-05-10 15:05:25.700000+00:00
28.8768781,-81.2827228,2022-05-10 15:05:25.800000+00:00
28.876849099999998,-81.282732,2022-05-10 15:05:25.900000+00:00
28.8768203,-81.282741,2022-05-10 15:05:26+00:00
28.876791299999997,-81.2827502,2022-05-10 15:05:26.100000+00:00
28.876762399999997,-81.2827593,2022-05-10 15:05:26.200000+00:00
28.876733599999998,-81.2827683,2022-05-10 15:05:26.300000+00:00
28.8767049,-81.2827774,2022-05-10 15:05:26.400000+00:00
28.8766762,-81.2827866,2022-05-10 15:05:26.500000+00:00
28.8766474,-81.2827954,2022-05-10 15:05:26.600000+00:00
28.876618599999997,-81.2828044,2022-05-10 15:05:26.700000+00:00
28.8765899,-81.2828133,2022-05-10 15:05:26.800000+00:00
28.8765611,-81.282822,2022-05-10 15:05:26.900000+00:00
28.8765327,-81.2828311,2022-05-10 15:05:27+00:00
28.8765042,-81.2828399,2022-05-10 15:05:27.100000+00:00
28.876475799999998,-81.282849,2022-05-10 15:05:27.200000+00:00
28.876447499999998,-81.2828579,2022-05-10 15:05:27.300000+00:00
28.876419199999997,-81.2828669,2022-05-10 15:05:27.400000+00:00
28.876390899999997,-81.2828758,2022-05-10 15:05:27.500000+00:00
28.876362699999998,-81.2828847,2022-05-10 15:05:27.600000+00:00
28.8763345,-81.2828936,2022-05-10 15:05:27.700000+00:00
28.8763065,-81.2829026,2022-05-10 15:05:27.800000+00:00
28.8762784,-81.2829115,2022-05-10 15:05:27.900000+00:00
28.8762503,-81.2829204,2022-05-10 15:05:28+00:00
28.8762224,-81.2829294,2022-05-10 15:05:28.100000+00:00
28.8761945,-81.2829383,2022-05-10 15:05:28.200000+00:00
28.8761665,-81.28294729999999,2022-05-10 15:05:28.300000+00:00
28.876138599999997,-81.2829564,2022-05-10 15:05:28.400000+00:00
28.876110599999997,-81.2829653,2022-05-10 15:05:28.500000+00:00
28.8760829,-81.282974,2022-05-10 15:05:28.600000+00:00
28.8760549,-81.2829828,2022-05-10 15:05:28.700000+00:00
28.8760272,-81.2829916,2022-05-10 15:05:28.800000+00:00
28.8759996,-81.2830005,2022-05-10 15:05:28.900000+00:00
28.8759719,-81.2830092,2022-05-10 15:05:29+00:00
28.8759443,-81.2830182,2022-05-10 15:05:29.100000+00:00
28.8759169,-81.2830271,2022-05-10 15:05:29.200000+00:00
28.875889299999997,-81.2830358,2022-05-10 15:05:29.300000+00:00
28.8758619,-81.28304469999999,2022-05-10 15:05:29.400000+00:00
28.8758344,-81.2830534,2022-05-10 15:05:29.500000+00:00
28.875807,-81.2830623,2022-05-10 15:05:29.600000+00:00
28.8757795,-81.2830711,2022-05-10 15:05:29.700000+00:00
28.8757521,-81.28307989999999,2022-05-10 15:05:29.800000+00:00
28.8757248,-81.2830886,2022-05-10 15:05:29.900000+00:00
28.8756973,-81.2830974,2022-05-10 15:05:30+00:00
28.875670099999997,-81.2831061,2022-05-10 15:05:30.100000+00:00
28.8756427,-81.28311479999999,2022-05-10 15:05:30.200000+00:00
28.875615399999997,-81.2831235,2022-05-10 15:05:30.300000+00:00
28.875587999999997,-81.2831321,2022-05-10 15:05:30.400000+00:00
28.875560699999998,-81.28314069999999,2022-05-10 15:05:30.500000+00:00
28.8755335,-81.2831494,2022-05-10 15:05:30.600000+00:00
28.8755061,-81.283158,2022-05-10 15:05:30.700000+00:00
28.875478899999997,-81.2831667,2022-05-10 15:05:30.800000+00:00
